practice_audio,practice_length,practice_colour,audio_trial,nmb_trial,audio_focus,PracticeTrial.thisRepN,PracticeTrial.thisTrialN,PracticeTrial.thisN,PracticeTrial.thisIndex,ExperimentTrial.thisRepN,ExperimentTrial.thisTrialN,ExperimentTrial.thisN,ExperimentTrial.thisIndex,FocusDummyTrial.thisRepN,FocusDummyTrial.thisTrialN,FocusDummyTrial.thisN,FocusDummyTrial.thisIndex,textIntroScreen.started,respIntroScreen.started,respIntroScreen.keys,respIntroScreen.rt,textRuleScreen.started,respRuleScreen.started,respRuleScreen.keys,respRuleScreen.rt,blank500.started,blank500.stopped,textPractice.started,textPractice.stopped,textNextAudioPractice.started,imageNextAudioPractice.started,textNextAudioPractice.stopped,imageNextAudioPractice.stopped,soundPractice.started,textHesitationP.started,imageHesitationP.started,sliderHesitationP.started,sliderHesitationP.response,sliderHesitationP.rt,textSentenceP.started,imageSentenceP.started,sliderSentenceP.started,sliderSentenceP.response,sliderSentenceP.rt,textNewTrial.started,textNewTrial.stopped,textNextAudio.started,imageNextAudio.started,soundFocusDummy.started,textHesitation.started,imageHesitation.started,sliderHesitation.started,sliderHesitation.response,sliderHesitation.rt,textSentence.started,imageSentence.started,sliderSentence.started,sliderSentence.response,sliderSentence.rt,textNextAudio.stopped,imageNextAudio.stopped,textEndScreen.started,textEndScreen.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,13.439477400039323,13.439477400039323,space,9.691776899970137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2022-10-05_20h11.43.646,hesitation,2022.2.4,60.32654763079298,
,,,,,,,,,,,,,,,,,,,,,,23.153191299992613,23.153191299992613,space,57.50601260003168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2022-10-05_20h11.43.646,hesitation,2022.2.4,60.32654763079298,
audio/practice_focus.wav,4,audio/practice_focus_c.png,,,,0,0,0,1,,,,,,,,,,,,,,,,,85.18613849999383,85.68756480002776,81.1860822000308,85.18613849999383,85.68756480002776,85.68756480002776,88.68637880007736,88.68637880007736,0.0026811999268829823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2022-10-05_20h11.43.646,hesitation,2022.2.4,60.32654763079298,
audio/practice_dummy.wav,4,audio/practice_dummy_c.png,,,,0,1,1,0,,,,,,,,,,,,,,,,,92.30282980005722,92.80435990006663,,,92.80435990006663,92.80435990006663,,,0.01895870000589639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2022-10-05_20h11.43.646,hesitation,2022.2.4,60.32654763079298,
,,,trial9_stim.xlsx,1,audio/focus2_c.png,,,,,0,0,0,0,,,,,,,,,,,,,156.53608019999228,157.05117029999383,,,,,,,,99.51913270005025,99.51913270005025,99.51913270005025,2.0,13.833884799969383,113.86948600003961,113.86948600003961,113.86948600003961,1.0,13.033667099894956,127.41914370004088,129.41924540000036,141.73789930006023,141.73789930006023,0.02040279994253069,151.50115270004608,151.50115270004608,151.50115270004608,0.0,5.028044399921782,157.05117029999383,157.05117029999383,157.05117029999383,2.0,8.060374599997886,,,,,1,001,2022-10-05_20h11.43.646,hesitation,2022.2.4,60.32654763079298,
,,,trial5_stim.xlsx,2,audio/focus_2_c.png,,,,,0,1,1,1,,,,,,,,,,,,,220.0027112000389,220.50264229997993,,,,,,,,,,,,,,,,,,165.61935930000618,167.61934249999467,178.55464670003857,178.55464670003857,0.02071890002116561,188.6693025000859,188.6693025000859,188.6693025000859,3.0,31.3153107999824,220.50264229997993,220.50264229997993,220.50264229997993,0.0,2.8640599000500515,,,,,1,001,2022-10-05_20h11.43.646,hesitation,2022.2.4,60.32654763079298,
,,,trial1_stim.xlsx,3,audio/millions_c.png,,,,,0,2,2,2,,,,,,,,,,,,,263.13609380007256,263.6360711000161,,,,,,,,,,,,,,,,,,223.88599500001874,225.88578030001372,240.2541699000867,240.2541699000867,0.02161079994402826,251.70074490003753,251.70074490003753,251.70074490003753,0.0,11.428902099956758,263.6360711000161,263.6360711000161,263.6360711000161,0.0,2.2644285999704152,,,,,1,001,2022-10-05_20h11.43.646,hesitation,2022.2.4,60.32654763079298,
,,,trial2_stim.xlsx,4,audio/gym_c.png,,,,,0,3,3,3,,,,,,,,,,,,,321.55270870006643,322.05271950003225,,,,,,,,,,,,,,,,,,266.41997689998243,268.4192864000797,278.73730600008275,278.73730600008275,0.0036683999933302402,287.0860285999952,287.0860285999952,287.0860285999952,0.0,34.447643199935555,322.05271950003225,322.05271950003225,322.05271950003225,0.0,2.1811465999344364,281.7360593000194,281.7360593000194,,,1,001,2022-10-05_20h11.43.646,hesitation,2022.2.4,60.32654763079298,
,,,trial6_stim.xlsx,5,audio/focus_3_c.png,,,,,0,4,4,4,,,,,,,,,,,,,351.6526829000795,352.15250430000015,,,,,,,,,,,,,,,,,,324.75265290006064,326.7524509000359,337.0208019000711,337.0208019000711,0.02198229997884482,348.85102549998555,348.85102549998555,348.85102549998555,0.0,2.791917199967429,352.15250430000015,352.15250430000015,352.15250430000015,2.0,1.5601854999549687,,,,,1,001,2022-10-05_20h11.43.646,hesitation,2022.2.4,60.32654763079298,
,,,trial4_stim.xlsx,6,audio/focus_1_c.png,,,,,0,5,5,5,,,,,,,,,,,,,384.9525031000376,385.45368450006936,,,,,,,,,,,,,,,,,,354.23593500000425,356.2359607000835,368.3705011000857,368.3705011000857,0.004407200030982494,378.1691543000052,378.1691543000052,378.1691543000052,1.0,6.762010699952953,385.45368450006936,385.45368450006936,385.45368450006936,2.0,3.178298900020309,371.3692871000385,371.3692871000385,,,1,001,2022-10-05_20h11.43.646,hesitation,2022.2.4,60.32654763079298,
,,,trial3_stim.xlsx,7,audio/kissing_c.png,,,,,0,6,6,6,,,,,,,,,,,,,426.73560820007697,427.2359571000561,,,,,,,,,,,,,,,,,,389.15257440006826,391.152586900047,402.2373719000025,402.2373719000025,0.02216329996008426,415.2525110000279,415.2525110000279,415.2525110000279,0.0,11.460450500017032,427.2359571000561,427.2359571000561,427.2359571000561,0.0,1.69426429993473,,,,,1,001,2022-10-05_20h11.43.646,hesitation,2022.2.4,60.32654763079298,
,,,trial8_stim.xlsx,8,audio/focus1_c.png,,,,,0,7,7,7,,,,,,,,,,,,,470.23576599999797,470.7356193000451,,,,,,,,,,,,,,,,,,429.4522911000531,431.4525680000661,445.55367290007416,445.55367290007416,0.005564399994909763,458.38572590006515,458.38572590006515,458.38572590006515,3.0,11.831212399993092,470.7356193000451,470.7356193000451,470.7356193000451,0.0,4.714261699933559,,,,,1,001,2022-10-05_20h11.43.646,hesitation,2022.2.4,60.32654763079298,
