practice_audio,practice_length,practice_colour,audio_trial,nmb_trial,audio_focus,PracticeTrial.thisRepN,PracticeTrial.thisTrialN,PracticeTrial.thisN,PracticeTrial.thisIndex,ExperimentTrial.thisRepN,ExperimentTrial.thisTrialN,ExperimentTrial.thisN,ExperimentTrial.thisIndex,FocusDummyTrial.thisRepN,FocusDummyTrial.thisTrialN,FocusDummyTrial.thisN,FocusDummyTrial.thisIndex,textIntroScreen.started,respIntroScreen.started,respIntroScreen.keys,respIntroScreen.rt,textRuleScreen.started,respRuleScreen.started,respRuleScreen.keys,respRuleScreen.rt,blank500.started,blank500.stopped,textPractice.started,textPractice.stopped,textNextAudioPractice.started,imageNextAudioPractice.started,soundPractice.started,textHesitationP.started,imageHesitationP.started,sliderHesitationP.started,sliderHesitationP.response,sliderHesitationP.rt,textSentenceP.started,imageSentenceP.started,sliderSentenceP.started,sliderSentenceP.response,sliderSentenceP.rt,textNewTrial.started,textNextAudio.started,imageNextAudio.started,soundFocusDummy.started,textHesitation.started,imageHesitation.started,sliderHesitation.started,sliderHesitation.response,sliderHesitation.rt,textSentence.started,imageSentence.started,sliderSentence.started,sliderSentence.response,sliderSentence.rt,textEndScreen.started,textEndScreen.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,29.617890499997884,29.617890499997884,space,22.515490299992962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2022-10-08_10h30.10.516,hesitation,2022.2.4,60.0236132875912,
,,,,,,,,,,,,,,,,,,,,,,52.149730099976296,52.149730099976296,space,21.03374280000571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2022-10-08_10h30.10.516,hesitation,2022.2.4,60.0236132875912,
audio/practice_focus.wav,4,audio/practice_focus_c.png,,,,0,0,0,1,,,,,,,,,,,,,,,,,77.73283379999339,73.70123399997829,73.70123399997829,77.73283379999339,78.33302859999822,78.33302859999822,0.04436100000748411,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2022-10-08_10h30.10.516,hesitation,2022.2.4,60.0236132875912,
audio/practice_dummy.wav,4,audio/practice_dummy_c.png,,,,0,1,1,0,,,,,,,,,,,,,,,,,84.85166169999866,85.36742529997719,,,85.36742529997719,85.36742529997719,0.04663189998245798,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2022-10-08_10h30.10.516,hesitation,2022.2.4,60.0236132875912,
,,,trial9_stim.xlsx,1,audio/focus2_c.png,,,,,0,0,0,0,,,,,,,,,,,,,157.14319429997704,157.6744906999811,,,,,,92.13451599999098,92.13451599999098,92.13451599999098,3.0,9.798636399995303,102.46871839999221,102.46871839999221,102.46871839999221,1.0,17.617339699994773,120.619993899978,134.97290809999686,134.97290809999686,0.05654650001088157,144.77322029997595,144.77322029997595,144.77322029997595,1.0,12.358954299998004,157.6744906999811,157.6744906999811,157.6744906999811,1.0,3.4747364999784622,,,2,001,2022-10-08_10h30.10.516,hesitation,2022.2.4,60.0236132875912,
,,,trial5_stim.xlsx,2,audio/focus_2_c.png,,,,,0,1,1,1,,,,,,,,,,,,,189.14638510000077,189.67765369999688,,,,,,,,,,,,,,,,161.6748202999879,174.82693929999368,174.82693929999368,0.057595400023274124,184.77735140000004,184.77735140000004,184.77735140000004,1.0,4.362762100005057,189.67765369999688,189.67765369999688,189.67765369999688,2.0,4.027273299987428,,,2,001,2022-10-08_10h30.10.516,hesitation,2022.2.4,60.0236132875912,
,,,trial1_stim.xlsx,3,audio/millions_c.png,,,,,0,2,2,2,,,,,,,,,,,,,226.0003626999969,226.53173609997611,,,,,,,,,,,,,,,,194.22837070000242,208.6967478999868,208.6967478999868,0.06025350000709295,222.11450999998488,222.11450999998488,222.11450999998488,0.0,3.8766854999994393,226.53173609997611,226.53173609997611,226.53173609997611,1.0,2.4770069000078365,,,2,001,2022-10-08_10h30.10.516,hesitation,2022.2.4,60.0236132875912,
,,,trial2_stim.xlsx,4,audio/gym_c.png,,,,,0,3,3,3,,,,,,,,,,,,,253.61959759998717,254.1511923999933,,,,,,,,,,,,,,,,229.53183719998924,241.8673332000035,241.8673332000035,0.04856730002211407,250.26652669999748,250.26652669999748,250.26652669999748,0.0,3.3343598999781534,254.1511923999933,254.1511923999933,254.1511923999933,1.0,2.2774314999987837,,,2,001,2022-10-08_10h30.10.516,hesitation,2022.2.4,60.0236132875912,
,,,trial6_stim.xlsx,5,audio/focus_3_c.png,,,,,0,4,4,4,,,,,,,,,,,,,285.73957089998294,286.2710005999834,,,,,,,,,,,,,,,,256.9513684999838,271.8369562999869,271.8369562999869,0.060519599996041507,281.15400849998696,281.15400849998696,281.15400849998696,2.0,4.576880100008566,286.2710005999834,286.2710005999834,286.2710005999834,2.0,1.977543200016953,,,2,001,2022-10-08_10h30.10.516,hesitation,2022.2.4,60.0236132875912,
,,,trial4_stim.xlsx,6,audio/focus_1_c.png,,,,,0,5,5,5,,,,,,,,,,,,,316.95961009999155,317.4909245999879,,,,,,,,,,,,,,,,288.7714705999824,301.65680249998695,301.65680249998695,0.03706519998377189,312.80697809997946,312.80697809997946,312.80697809997946,2.0,4.144076199998381,317.4909245999879,317.4909245999879,317.4909245999879,1.0,2.4926029999915045,,,2,001,2022-10-08_10h30.10.516,hesitation,2022.2.4,60.0236132875912,
