practice_audio,practice_length,practice_colour,audio_trial,nmb_trial,audio_focus,PracticeTrial.thisRepN,PracticeTrial.thisTrialN,PracticeTrial.thisN,PracticeTrial.thisIndex,ExperimentTrial.thisRepN,ExperimentTrial.thisTrialN,ExperimentTrial.thisN,ExperimentTrial.thisIndex,FocusDummyTrial.thisRepN,FocusDummyTrial.thisTrialN,FocusDummyTrial.thisN,FocusDummyTrial.thisIndex,textIntroScreen.started,respIntroScreen.started,respIntroScreen.keys,respIntroScreen.rt,textRuleScreen.started,respRuleScreen.started,respRuleScreen.keys,respRuleScreen.rt,blank500.started,blank500.stopped,textPractice.started,textPractice.stopped,textNextAudioPractice.started,imageNextAudioPractice.started,soundPractice.started,textHesitationP.started,imageHesitationP.started,sliderHesitationP.started,sliderHesitationP.response,sliderHesitationP.rt,textSentenceP.started,imageSentenceP.started,sliderSentenceP.started,sliderSentenceP.response,sliderSentenceP.rt,textNewTrial.started,textNewTrial.stopped,textNextAudio.started,imageNextAudio.started,soundFocusDummy.started,textHesitation.started,imageHesitation.started,sliderHesitation.started,sliderHesitation.response,sliderHesitation.rt,textSentence.started,imageSentence.started,sliderSentence.started,sliderSentence.response,sliderSentence.rt,soundFocusDummy.stopped,textNextAudio.stopped,imageNextAudio.stopped,textEndScreen.started,textEndScreen.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,12.094783899956383,12.094783899956383,space,13.332797500072047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2022-10-05_20h29.31.923,hesitation,2022.2.4,59.669182129916926,
,,,,,,,,,,,,,,,,,,,,,,25.4566803999478,25.4566803999478,space,19.218436800059862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2022-10-05_20h29.31.923,hesitation,2022.2.4,59.669182129916926,
audio/practice_dummy.wav,4,audio/practice_dummy_c.png,,,,0,0,0,0,,,,,,,,,,,,,,,,,49.20630690001417,49.70791790005751,45.2061194999842,49.20630690001417,49.70791790005751,49.70791790005751,0.018432199954986572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2022-10-05_20h29.31.923,hesitation,2022.2.4,59.669182129916926,
audio/practice_focus.wav,4,audio/practice_focus_c.png,,,,0,1,1,1,,,,,,,,,,,,,,,,,56.422918800031766,56.924491100013256,,,56.924491100013256,56.924491100013256,0.019181099953129888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2022-10-05_20h29.31.923,hesitation,2022.2.4,59.669182129916926,
,,,trial9_stim.xlsx,1,audio/focus2_c.png,,,,,0,0,0,0,,,,,,,,,,,,,141.68960299994797,142.2046541000018,,,,,,63.55634400004055,63.55634400004055,63.55634400004055,2.0,9.767683600075543,73.83971640001982,73.83971640001982,73.83971640001982,1.0,8.750652299961075,83.10618200001772,85.1062399999937,97.42475020000711,97.42475020000711,0.02098979998845607,107.18817810004111,107.18817810004111,107.18817810004111,2.0,34.49308360007126,142.2046541000018,142.2046541000018,142.2046541000018,2.0,5.4437317999545485,,,,,,3,001,2022-10-05_20h29.31.923,hesitation,2022.2.4,59.669182129916926,
,,,trial5_stim.xlsx,2,audio/focus_2_c.png,,,,,0,1,1,1,,,,,,,,,,,,,176.63965050003026,177.13959689997137,,,,,,,,,,,,,,,,148.156329200021,150.15615549997892,161.27460170001723,161.27460170001723,0.0207479998935014,171.1896088999929,171.1896088999929,171.1896088999929,2.0,5.429374000057578,177.13959689997137,177.13959689997137,177.13959689997137,2.0,5.114934100070968,,,,,,3,001,2022-10-05_20h29.31.923,hesitation,2022.2.4,59.669182129916926,
,,,trial1_stim.xlsx,3,audio/millions_c.png,,,,,0,2,2,2,,,,,,,,,,,,,215.4226521999808,215.9227455999935,,,,,,,,,,,,,,,,182.77296410000417,184.7728400999913,199.1410376999993,199.1410376999993,0.021426800056360662,210.57295970001724,210.57295970001724,210.57295970001724,1.0,4.830154500086792,215.9227455999935,215.9227455999935,215.9227455999935,1.0,1.947712799999863,,,,,,3,001,2022-10-05_20h29.31.923,hesitation,2022.2.4,59.669182129916926,
,,,trial2_stim.xlsx,4,audio/gym_c.png,,,,,0,3,3,3,,,,,,,,,,,,,241.23935719998553,241.73956290003844,,,,,,,,,,,,,,,,218.38966139999684,220.3895201999694,229.74104640004225,229.74104640004225,0.020340800052508712,239.039629100007,239.039629100007,239.039629100007,0.0,2.1812409000704065,241.73956290003844,241.73956290003844,241.73956290003844,1.0,1.9640765000367537,,,,,,3,001,2022-10-05_20h29.31.923,hesitation,2022.2.4,59.669182129916926,
,,,trial6_stim.xlsx,5,audio/focus_3_c.png,,,,,0,4,4,4,,,,,,,,,,,,,273.0228015000466,273.5227226000279,,,,,,,,,,,,,,,,244.22288719995413,246.22277570003644,259.040743199992,259.040743199992,0.020264199934899807,268.3061789999483,268.3061789999483,268.3061789999483,1.0,4.694082500063814,273.5227226000279,273.5227226000279,273.5227226000279,2.0,5.026587300002575,,,,,,3,001,2022-10-05_20h29.31.923,hesitation,2022.2.4,59.669182129916926,
,,,trial4_stim.xlsx,6,audio/focus_1_c.png,,,,,0,5,5,5,,,,,,,,,,,,,306.2894680999452,306.78940899996087,,,,,,,,,,,,,,,,279.0728522000136,281.0728830000153,291.9075114999432,291.9075114999432,0.0212108000414446,303.0543379000155,303.0543379000155,303.0543379000155,1.0,3.2269598999992013,306.78940899996087,306.78940899996087,306.78940899996087,2.0,6.7931978000560775,,,,,,3,001,2022-10-05_20h29.31.923,hesitation,2022.2.4,59.669182129916926,
