practice_audio,practice_length,practice_colour,audio_trial,nmb_trial,audio_focus,PracticeTrial.thisRepN,PracticeTrial.thisTrialN,PracticeTrial.thisN,PracticeTrial.thisIndex,ExperimentTrial.thisRepN,ExperimentTrial.thisTrialN,ExperimentTrial.thisN,ExperimentTrial.thisIndex,FocusDummyTrial.thisRepN,FocusDummyTrial.thisTrialN,FocusDummyTrial.thisN,FocusDummyTrial.thisIndex,textIntroScreen.started,respIntroScreen.started,respIntroScreen.keys,respIntroScreen.rt,textRuleScreen.started,respRuleScreen.started,respRuleScreen.keys,respRuleScreen.rt,blank500.started,blank500.stopped,textPractice.started,textPractice.stopped,textNextAudioPractice.started,imageNextAudioPractice.started,soundPractice.started,textNextAudioPractice.stopped,imageNextAudioPractice.stopped,textHesitationP.started,imageHesitationP.started,sliderHesitationP.started,sliderHesitationP.response,sliderHesitationP.rt,textSentenceP.started,imageSentenceP.started,sliderSentenceP.started,sliderSentenceP.response,sliderSentenceP.rt,textNewTrial.started,textNextAudio.started,imageNextAudio.started,soundFocusDummy.started,textHesitation.started,imageHesitation.started,sliderHesitation.started,sliderHesitation.response,sliderHesitation.rt,textSentence.started,imageSentence.started,sliderSentence.started,sliderSentence.response,sliderSentence.rt,textNextAudio.stopped,imageNextAudio.stopped,soundFocusDummy.stopped,textEndScreen.started,textEndScreen.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,18.222929399984423,18.222929399984423,space,7.217724199988879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2022-10-08_10h39.02.977,hesitation,2022.2.4,60.00441632374233,
,,,,,,,,,,,,,,,,,,,,,,25.468883800000185,25.468883800000185,space,29.724745400017127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2022-10-08_10h39.02.977,hesitation,2022.2.4,60.00441632374233,
audio/practice_focus.wav,4,audio/practice_focus_c.png,,,,0,0,0,1,,,,,,,,,,,,,,,,,59.73697999998694,55.721326099999715,55.721326099999715,59.73697999998694,60.30422130000079,60.30422130000079,0.021564199996646494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2022-10-08_10h39.02.977,hesitation,2022.2.4,60.00441632374233,
audio/practice_dummy.wav,4,audio/practice_dummy_c.png,,,,0,1,1,0,,,,,,,,,,,,,,,,,66.85584040000685,67.35616510000546,,,67.35616510000546,67.35616510000546,0.00641990001895465,70.35616379999556,70.35616379999556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2022-10-08_10h39.02.977,hesitation,2022.2.4,60.00441632374233,
,,,trial9_stim.xlsx,1,audio/focus2_c.png,,,,,0,0,0,0,,,,,,,,,,,,,134.9806808999856,135.51193549999152,,,,,,,,74.07169989999966,74.07169989999966,74.07169989999966,2.0,14.938582400005544,89.55724870000267,89.55724870000267,89.55724870000267,1.0,14.550093900004867,104.64208270001109,118.96100069998647,118.96100069998647,0.03659160001552664,128.7443745000055,128.7443745000055,128.7443745000055,1.0,6.215336399996886,135.51193549999152,135.51193549999152,135.51193549999152,1.0,3.2273888000054285,,,,,,2,001,2022-10-08_10h39.02.977,hesitation,2022.2.4,60.00441632374233,
,,,trial5_stim.xlsx,2,audio/focus_2_c.png,,,,,0,1,1,1,,,,,,,,,,,,,165.86701610000455,166.39865799999097,,,,,,,,,,,,,,,,,,139.2625463999866,152.38304849999258,152.38304849999258,0.024436999985482544,162.34822250000434,162.34822250000434,162.34822250000434,2.0,3.5105614999774843,166.39865799999097,166.39865799999097,166.39865799999097,1.0,4.1766923000104725,155.39733700000215,155.39733700000215,,,,2,001,2022-10-08_10h39.02.977,hesitation,2022.2.4,60.00441632374233,
,,,trial1_stim.xlsx,3,audio/millions_c.png,,,,,0,2,2,2,,,,,,,,,,,,,201.98743489998742,202.51897460001055,,,,,,,,,,,,,,,,,,171.09911010001088,187.46973439998692,187.46973439998692,0.02880539998295717,198.93526749999728,198.93526749999728,198.93526749999728,0.0,3.0444574000139255,202.51897460001055,202.51897460001055,202.51897460001055,1.0,6.543605900020339,190.5009912000096,190.5009912000096,,,,2,001,2022-10-08_10h39.02.977,hesitation,2022.2.4,60.00441632374233,
,,,trial2_stim.xlsx,4,audio/gym_c.png,,,,,0,3,3,3,,,,,,,,,,,,,232.62292289998732,233.15549119998468,,,,,,,,,,,,,,,,,,209.58628319998388,221.90509439999005,221.90509439999005,0.01884010000503622,230.28828879998764,230.28828879998764,230.28828879998764,0.0,2.3410287000006065,233.15549119998468,233.15549119998468,233.15549119998468,1.0,1.5111636000219733,,,,,,2,001,2022-10-08_10h39.02.977,hesitation,2022.2.4,60.00441632374233,
,,,trial6_stim.xlsx,5,audio/focus_3_c.png,,,,,0,4,4,4,,,,,,,,,,,,,263.2271614999918,263.75831149998703,,,,,,,,,,,,,,,,,,235.18936190000386,247.45880369999213,247.45880369999213,0.02820509998127818,259.32498289999785,259.32498289999785,259.32498289999785,2.0,3.8934158999763895,263.75831149998703,263.75831149998703,263.75831149998703,2.0,3.7080994000134524,,,,,,2,001,2022-10-08_10h39.02.977,hesitation,2022.2.4,60.00441632374233,
,,,trial4_stim.xlsx,6,audio/focus_1_c.png,,,,,0,5,5,5,,,,,,,,,,,,,294.2803436999966,294.8116551999992,,,,,,,,,,,,,,,,,,267.9923190000118,282.14471950000734,282.14471950000734,0.0391397999774199,291.99467300000833,291.99467300000833,291.99467300000833,3.0,2.275495099980617,294.8116551999992,294.8116551999992,294.8116551999992,2.0,8.343301500019152,,,,,,2,001,2022-10-08_10h39.02.977,hesitation,2022.2.4,60.00441632374233,
