practice_audio,practice_length,practice_colour,audio_trial,nmb_trial,audio_focus,PracticeTrial.thisRepN,PracticeTrial.thisTrialN,PracticeTrial.thisN,PracticeTrial.thisIndex,ExperimentTrial.thisRepN,ExperimentTrial.thisTrialN,ExperimentTrial.thisN,ExperimentTrial.thisIndex,FocusDummyTrial.thisRepN,FocusDummyTrial.thisTrialN,FocusDummyTrial.thisN,FocusDummyTrial.thisIndex,textIntroScreen.started,respIntroScreen.started,respIntroScreen.keys,respIntroScreen.rt,textRuleScreen.started,respRuleScreen.started,respRuleScreen.keys,respRuleScreen.rt,blank500.started,blank500.stopped,textPractice.started,textPractice.stopped,textNextAudioPractice.started,imageNextAudioPractice.started,textNextAudioPractice.stopped,imageNextAudioPractice.stopped,soundPractice.started,textHesitationP.started,imageHesitationP.started,sliderHesitationP.started,sliderHesitationP.response,sliderHesitationP.rt,textSentenceP.started,imageSentenceP.started,sliderSentenceP.started,sliderSentenceP.response,sliderSentenceP.rt,textNewTrial.started,textNewTrial.stopped,textNextAudio.started,imageNextAudio.started,textNextAudio.stopped,imageNextAudio.stopped,soundFocusDummy.started,textHesitation.started,imageHesitation.started,sliderHesitation.started,sliderHesitation.response,sliderHesitation.rt,textSentence.started,imageSentence.started,sliderSentence.started,sliderSentence.response,sliderSentence.rt,textEndScreen.started,textEndScreen.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,11.452941600000486,11.452941600000486,space,16.623930700006895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2022-10-05_20h37.46.825,hesitation,2022.2.4,59.696217894383345,
,,,,,,,,,,,,,,,,,,,,,,28.09664060000796,28.09664060000796,space,12.10811500006821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2022-10-05_20h37.46.825,hesitation,2022.2.4,59.696217894383345,
audio/practice_focus.wav,4,audio/practice_focus_c.png,,,,0,0,0,1,,,,,,,,,,,,,,,,,44.72948040009942,45.23097350005992,40.72952809999697,44.72948040009942,45.23097350005992,45.23097350005992,48.229747600038536,48.229747600038536,0.002379199955612421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2022-10-05_20h37.46.825,hesitation,2022.2.4,59.696217894383345,
audio/practice_dummy.wav,4,audio/practice_dummy_c.png,,,,0,1,1,0,,,,,,,,,,,,,,,,,51.86289430002216,52.36441830010153,,,52.36441830010153,52.36441830010153,,,0.018984099966473877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2022-10-05_20h37.46.825,hesitation,2022.2.4,59.696217894383345,
,,,trial9_stim.xlsx,1,audio/focus2_c.png,,,,,0,0,0,0,,,,,,,,,,,,,104.42957270005718,104.92954700009432,,,,,,,,59.07951200008392,59.07951200008392,59.07951200008392,1.0,8.383975100005046,67.97952580009587,67.97952580009587,67.97952580009587,2.0,7.716828900040127,76.21302360005211,78.21301420009695,88.96455540007446,88.96455540007446,81.71288630005438,81.71288630005438,0.02125079999677837,100.27963130001444,100.27963130001444,100.27963130001444,2.0,4.1276738999877125,104.92954700009432,104.92954700009432,104.92954700009432,2.0,3.910528300097212,,,4,001,2022-10-05_20h37.46.825,hesitation,2022.2.4,59.696217894383345,
,,,trial5_stim.xlsx,2,audio/focus_2_c.png,,,,,0,1,1,1,,,,,,,,,,,,,135.74603250005748,136.24623920000158,,,,,,,,,,,,,,,,,,109.3629149000626,111.36289250000846,122.29779810004402,122.29779810004402,,,0.02086730010341853,132.4128530001035,132.4128530001035,132.4128530001035,3.0,3.3141712000360712,136.24623920000158,136.24623920000158,136.24623920000158,1.0,5.317042900016531,,,4,001,2022-10-05_20h37.46.825,hesitation,2022.2.4,59.696217894383345,
,,,trial1_stim.xlsx,3,audio/millions_c.png,,,,,0,2,2,2,,,,,,,,,,,,,173.02928880008403,173.52947830001358,,,,,,,,,,,,,,,,,,142.07943310006522,144.0794722000137,158.4476550000254,158.4476550000254,147.57947420002893,147.57947420002893,0.006147100008092821,169.86276320007164,169.86276320007164,169.86276320007164,2.0,3.1475824000081047,173.52947830001358,173.52947830001358,173.52947830001358,1.0,2.8451621999265626,,,4,001,2022-10-05_20h37.46.825,hesitation,2022.2.4,59.696217894383345,
,,,trial2_stim.xlsx,4,audio/gym_c.png,,,,,0,3,3,3,,,,,,,,,,,,,201.82951090007555,202.32950440002605,,,,,,,,,,,,,,,,,,176.89608370000497,178.8961043000454,188.2641671000747,188.2641671000747,191.26281390001532,191.26281390001532,0.004243599949404597,197.5461873000022,197.5461873000022,197.5461873000022,1.0,4.264083900023252,202.32950440002605,202.32950440002605,202.32950440002605,0.0,6.11446369998157,,,4,001,2022-10-05_20h37.46.825,hesitation,2022.2.4,59.696217894383345,
,,,trial6_stim.xlsx,5,audio/focus_3_c.png,,,,,0,4,4,4,,,,,,,,,,,,,235.94603610003833,236.44595530000515,,,,,,,,,,,,,,,,,,208.96278850000817,210.9627137000207,221.21411530009937,221.21411530009937,224.21266379998997,224.21266379998997,0.005162999965250492,233.03003980009817,233.03003980009817,233.03003980009817,2.0,2.893976700026542,236.44595530000515,236.44595530000515,236.44595530000515,0.0,3.410175899975002,,,4,001,2022-10-05_20h37.46.825,hesitation,2022.2.4,59.696217894383345,
,,,trial4_stim.xlsx,6,audio/focus_1_c.png,,,,,0,5,5,5,,,,,,,,,,,,,268.162583700032,268.6626191000687,,,,,,,,,,,,,,,,,,240.37933610007167,242.37945330003276,254.49728360003792,254.49728360003792,257.49591410008725,257.49591410008725,0.00431300001218915,264.2960932001006,264.2960932001006,264.2960932001006,1.0,3.8439842999214306,268.6626191000687,268.6626191000687,268.6626191000687,2.0,3.0273101999191567,,,4,001,2022-10-05_20h37.46.825,hesitation,2022.2.4,59.696217894383345,
