practice_audio,practice_length,practice_colour,audio_trial,nmb_trial,audio_focus,PracticeTrial.thisRepN,PracticeTrial.thisTrialN,PracticeTrial.thisN,PracticeTrial.thisIndex,ExperimentTrial.thisRepN,ExperimentTrial.thisTrialN,ExperimentTrial.thisN,ExperimentTrial.thisIndex,FocusDummyTrial.thisRepN,FocusDummyTrial.thisTrialN,FocusDummyTrial.thisN,FocusDummyTrial.thisIndex,textIntroScreen.started,respIntroScreen.started,respIntroScreen.keys,respIntroScreen.rt,textRuleScreen.started,respRuleScreen.started,respRuleScreen.keys,respRuleScreen.rt,blank500.started,blank500.stopped,textPractice.started,textPractice.stopped,textNextAudioPractice.started,imageNextAudioPractice.started,soundPractice.started,textHesitationP.started,imageHesitationP.started,sliderHesitationP.started,sliderHesitationP.response,sliderHesitationP.rt,textSentenceP.started,imageSentenceP.started,sliderSentenceP.started,sliderSentenceP.response,sliderSentenceP.rt,textNewTrial.started,textNextAudio.started,imageNextAudio.started,soundFocusDummy.started,textHesitation.started,imageHesitation.started,sliderHesitation.started,sliderHesitation.response,sliderHesitation.rt,textSentence.started,imageSentence.started,sliderSentence.started,sliderSentence.response,sliderSentence.rt,textNextAudio.stopped,imageNextAudio.stopped,textEndScreen.started,textEndScreen.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,65.28848300001118,65.28848300001118,space,28.480954600003315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2022-10-08_18h46.31.201,hesitation,2022.2.4,60.041704967798104,
,,,,,,,,,,,,,,,,,,,,,,93.78731630000402,93.78731630000402,space,59.232279899995774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2022-10-08_18h46.31.201,hesitation,2022.2.4,60.041704967798104,
audio/practice_focus.wav,4,audio/practice_focus_c.png,,,,0,0,0,1,,,,,,,,,,,,,,,,,157.5746301000181,153.54317770001944,153.54317770001944,157.5746301000181,158.17474770001718,158.17474770001718,0.04327460000058636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2022-10-08_18h46.31.201,hesitation,2022.2.4,60.041704967798104,
audio/practice_dummy.wav,4,audio/practice_dummy_c.png,,,,0,1,1,0,,,,,,,,,,,,,,,,,164.6941821000073,165.2092959000147,,,165.2092959000147,165.2092959000147,0.039902100019389763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2022-10-08_18h46.31.201,hesitation,2022.2.4,60.041704967798104,
,,,trial9_stim.xlsx,1,audio/focus2_c.png,,,,,0,0,0,0,,,,,,,,,,,,,242.9687870000198,243.50019260001136,,,,,,171.95959040001617,171.95959040001617,171.95959040001617,1.0,13.716570100019453,186.2111797000107,186.2111797000107,186.2111797000107,1.0,14.550796199997421,201.29584330000216,214.0479478999914,214.0479478999914,0.053083599981619045,225.431845300016,225.431845300016,225.431845300016,1.0,17.53696840000339,243.50019260001136,243.50019260001136,243.50019260001136,1.0,18.46123620000435,,,,,3,001,2022-10-08_18h46.31.201,hesitation,2022.2.4,60.041704967798104,
,,,trial5_stim.xlsx,2,audio/focus_2_c.png,,,,,0,1,1,1,,,,,,,,,,,,,294.67402460001176,295.20546369999647,,,,,,,,,,,,,,,,262.4854358000157,275.63770900000236,275.63770900000236,0.04496559998369776,285.58793420001166,285.58793420001166,285.58793420001166,2.0,9.076678500015987,295.20546369999647,295.20546369999647,295.20546369999647,2.0,3.0113055999972858,,,,,3,001,2022-10-08_18h46.31.201,hesitation,2022.2.4,60.041704967798104,
,,,trial1_stim.xlsx,3,audio/millions_c.png,,,,,0,2,2,2,,,,,,,,,,,,,332.3112508000049,332.84282419999363,,,,,,,,,,,,,,,,298.7559209000028,315.10989620001055,315.10989620001055,0.029420799983199686,326.55867850000504,326.55867850000504,326.55867850000504,0.0,5.743222399993101,332.84282419999363,332.84282419999363,332.84282419999363,1.0,1.7432444999867585,,,,,3,001,2022-10-08_18h46.31.201,hesitation,2022.2.4,60.041704967798104,
,,,trial2_stim.xlsx,4,audio/gym_c.png,,,,,0,3,3,3,,,,,,,,,,,,,360.86426269999356,361.3957374000165,,,,,,,,,,,,,,,,335.1097672000178,347.4450746999937,347.4450746999937,0.0458509000018239,355.82790750000277,355.82790750000277,355.82790750000277,0.0,5.009014999988722,361.3957374000165,361.3957374000165,361.3957374000165,1.0,5.277504800003953,,,,,3,001,2022-10-08_18h46.31.201,hesitation,2022.2.4,60.041704967798104,
,,,trial6_stim.xlsx,5,audio/focus_3_c.png,,,,,0,4,4,4,,,,,,,,,,,,,398.7681955000153,399.2996322000108,,,,,,,,,,,,,,,,367.1960919999983,379.49833520001266,379.49833520001266,0.05305660000885837,391.38215680001304,391.38215680001304,391.38215680001304,1.0,7.375887500005774,399.2996322000108,399.2996322000108,399.2996322000108,2.0,1.4413597999955527,,,,,3,001,2022-10-08_18h46.31.201,hesitation,2022.2.4,60.041704967798104,
,,,trial4_stim.xlsx,6,audio/focus_1_c.png,,,,,0,5,5,5,,,,,,,,,,,,,429.3713182999927,429.9028413000051,,,,,,,,,,,,,,,,401.26642299999367,415.4352193000086,415.4352193000086,0.04865300000528805,425.30241190001834,425.30241190001834,425.30241190001834,3.0,4.060057499998948,429.9028413000051,429.9028413000051,429.9028413000051,1.0,3.6588615000073332,,,,,3,001,2022-10-08_18h46.31.201,hesitation,2022.2.4,60.041704967798104,
,,,trial3_stim.xlsx,7,audio/kissing_c.png,,,,,0,6,6,6,,,,,,,,,,,,,470.92557700001635,471.457046800002,,,,,,,,,,,,,,,,434.0859950000013,447.19027389999246,447.19027389999246,0.04108080000150949,460.25590499999817,460.25590499999817,460.25590499999817,0.0,10.660685999988345,471.457046800002,471.457046800002,471.457046800002,1.0,0.7755772000236902,450.23817759999656,450.23817759999656,,,3,001,2022-10-08_18h46.31.201,hesitation,2022.2.4,60.041704967798104,
,,,trial8_stim.xlsx,8,audio/focus1_c.png,,,,,0,7,7,7,,,,,,,,,,,,,509.34612699999707,509.8776877000055,,,,,,,,,,,,,,,,472.7571692999918,488.62614420001046,488.62614420001046,0.05858290000469424,501.7934932000062,501.7934932000062,501.7934932000062,2.0,7.544213799992576,509.8776877000055,509.8776877000055,509.8776877000055,2.0,1.0434845999989193,,,,,3,001,2022-10-08_18h46.31.201,hesitation,2022.2.4,60.041704967798104,
