practice_audio,practice_length,practice_colour,audio_trial,nmb_trial,audio_focus,PracticeTrial.thisRepN,PracticeTrial.thisTrialN,PracticeTrial.thisN,PracticeTrial.thisIndex,ExperimentTrial.thisRepN,ExperimentTrial.thisTrialN,ExperimentTrial.thisN,ExperimentTrial.thisIndex,FocusDummyTrial.thisRepN,FocusDummyTrial.thisTrialN,FocusDummyTrial.thisN,FocusDummyTrial.thisIndex,textIntroScreen.started,respIntroScreen.started,respIntroScreen.keys,respIntroScreen.rt,textRuleScreen.started,respRuleScreen.started,respRuleScreen.keys,respRuleScreen.rt,blank500.started,blank500.stopped,textPractice.started,textPractice.stopped,textNextAudioPractice.started,imageNextAudioPractice.started,soundPractice.started,textHesitationP.started,imageHesitationP.started,sliderHesitationP.started,sliderHesitationP.response,sliderHesitationP.rt,textSentenceP.started,imageSentenceP.started,sliderSentenceP.started,sliderSentenceP.response,sliderSentenceP.rt,textNewTrial.started,textNewTrial.stopped,textNextAudio.started,imageNextAudio.started,textNextAudio.stopped,imageNextAudio.stopped,soundFocusDummy.started,textHesitation.started,imageHesitation.started,sliderHesitation.started,sliderHesitation.response,sliderHesitation.rt,textSentence.started,imageSentence.started,sliderSentence.started,sliderSentence.response,sliderSentence.rt,soundFocusDummy.stopped,textEndScreen.started,textEndScreen.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,16.945871999952942,16.945871999952942,space,12.590033300104551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2022-10-05_20h44.39.095,hesitation,2022.2.4,59.81369229916043,
,,,,,,,,,,,,,,,,,,,,,,29.55938370001968,29.55938370001968,space,17.096588399959728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2022-10-05_20h44.39.095,hesitation,2022.2.4,59.81369229916043,
audio/practice_dummy.wav,4,audio/practice_dummy_c.png,,,,0,0,0,0,,,,,,,,,,,,,,,,,51.17582480004057,51.677275700028986,47.175901300041005,51.17582480004057,51.677275700028986,51.677275700028986,0.0183541999431327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2022-10-05_20h44.39.095,hesitation,2022.2.4,59.81369229916043,
audio/practice_focus.wav,4,audio/practice_focus_c.png,,,,0,1,1,1,,,,,,,,,,,,,,,,,58.39245939999819,58.893844299949706,,,58.893844299949706,58.893844299949706,0.0192994000390172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2022-10-05_20h44.39.095,hesitation,2022.2.4,59.81369229916043,
,,,trial9_stim.xlsx,1,audio/focus2_c.png,,,,,0,0,0,0,,,,,,,,,,,,,112.6588946999982,113.17401329998393,,,,,,65.52567530004308,65.52567530004308,65.52567530004308,2.0,6.483961499994621,72.52571179997176,72.52571179997176,72.52571179997176,1.0,9.434936300036497,82.47554370004218,84.475708700018,96.77763240004424,96.77763240004424,87.9758135000011,87.9758135000011,0.020434800069779158,106.54074249998666,106.54074249998666,106.54074249998666,2.0,6.111048699938692,113.17401329998393,113.17401329998393,113.17401329998393,1.0,2.942841300042346,,,,5,001,2022-10-05_20h44.39.095,hesitation,2022.2.4,59.81369229916043,
,,,trial5_stim.xlsx,2,audio/focus_2_c.png,,,,,0,1,1,1,,,,,,,,,,,,,147.40898569999263,147.90897190000396,,,,,,,,,,,,,,,,116.62573490000796,118.62574759998824,129.74411379999947,129.74411379999947,,,0.020645300042815506,139.65901309996843,139.65901309996843,139.65901309996843,1.0,7.7290090000024065,147.90897190000396,147.90897190000396,147.90897190000396,2.0,5.364286900032312,,,,5,001,2022-10-05_20h44.39.095,hesitation,2022.2.4,59.81369229916043,
,,,trial1_stim.xlsx,3,audio/millions_c.png,,,,,0,2,2,2,,,,,,,,,,,,,186.8424001999665,187.34226589999162,,,,,,,,,,,,,,,,153.79240739997476,155.79242579999845,170.16038669995032,170.16038669995032,,,0.02143269998487085,181.59231680002995,181.59231680002995,181.59231680002995,0.0,5.230278500006534,187.34226589999162,187.34226589999162,187.34226589999162,1.0,3.4141094000078738,,,,5,001,2022-10-05_20h44.39.095,hesitation,2022.2.4,59.81369229916043,
,,,trial2_stim.xlsx,4,audio/gym_c.png,,,,,0,3,3,3,,,,,,,,,,,,,215.95893439999782,216.45880939997733,,,,,,,,,,,,,,,,191.27577319997363,193.2755613999907,203.56030979997013,203.56030979997013,206.55898870003875,206.55898870003875,0.003807900007814169,211.89222040004097,211.89222040004097,211.89222040004097,0.0,4.047592899994925,216.45880939997733,216.45880939997733,216.45880939997733,1.0,3.9639559999341145,,,,5,001,2022-10-05_20h44.39.095,hesitation,2022.2.4,59.81369229916043,
,,,trial6_stim.xlsx,5,audio/focus_3_c.png,,,,,0,4,4,4,,,,,,,,,,,,,250.2589362000581,250.75908980006352,,,,,,,,,,,,,,,,220.9423148999922,222.9423172000097,235.7770407999633,235.7770407999633,,,0.020347199984826148,245.04221370001324,245.04221370001324,245.04221370001324,1.0,5.194003899930976,250.75908980006352,250.75908980006352,250.75908980006352,2.0,3.593556800042279,,,,5,001,2022-10-05_20h44.39.095,hesitation,2022.2.4,59.81369229916043,
,,,trial4_stim.xlsx,6,audio/focus_1_c.png,,,,,0,5,5,5,,,,,,,,,,,,,281.6089540000539,268.9936049999669,,,,,,,,,,,,,,,,254.875541800051,256.8756048999494,268.9936049999669,268.9936049999669,260.3757595999632,260.3757595999632,0.020615000044927,278.8255069999723,278.8255069999723,278.8255069999723,3.0,2.7597795999608934,282.12378390005324,282.12378390005324,282.12378390005324,1.0,3.6847898999694735,,,,5,001,2022-10-05_20h44.39.095,hesitation,2022.2.4,59.81369229916043,
