practice_audio,practice_length,practice_colour,audio_trial,nmb_trial,audio_focus,PracticeTrial.thisRepN,PracticeTrial.thisTrialN,PracticeTrial.thisN,PracticeTrial.thisIndex,ExperimentTrial.thisRepN,ExperimentTrial.thisTrialN,ExperimentTrial.thisN,ExperimentTrial.thisIndex,FocusDummyTrial.thisRepN,FocusDummyTrial.thisTrialN,FocusDummyTrial.thisN,FocusDummyTrial.thisIndex,textIntroScreen.started,respIntroScreen.started,respIntroScreen.keys,respIntroScreen.rt,textRuleScreen.started,respRuleScreen.started,respRuleScreen.keys,respRuleScreen.rt,blank500.started,blank500.stopped,textPractice.started,textPractice.stopped,textNextAudioPractice.started,imageNextAudioPractice.started,textNextAudioPractice.stopped,imageNextAudioPractice.stopped,soundPractice.started,textHesitationP.started,imageHesitationP.started,sliderHesitationP.started,sliderHesitationP.response,sliderHesitationP.rt,textSentenceP.started,imageSentenceP.started,sliderSentenceP.started,sliderSentenceP.response,sliderSentenceP.rt,textNewTrial.started,textNewTrial.stopped,textNextAudio.started,imageNextAudio.started,soundFocusDummy.started,textHesitation.started,imageHesitation.started,sliderHesitation.started,sliderHesitation.response,sliderHesitation.rt,textSentence.started,imageSentence.started,sliderSentence.started,sliderSentence.response,sliderSentence.rt,textNextAudio.stopped,imageNextAudio.stopped,soundFocusDummy.stopped,textEndScreen.started,textEndScreen.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,14.534729299950413,14.534729299950413,space,34.78553870005999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2022-10-09_13h02.41.605,hesitation,2022.2.4,60.196215592783,
,,,,,,,,,,,,,,,,,,,,,,49.34300839994103,49.34300839994103,space,20.857030700077303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2022-10-09_13h02.41.605,hesitation,2022.2.4,60.196215592783,
audio/practice_focus.wav,4,audio/practice_focus_c.png,,,,0,0,0,1,,,,,,,,,,,,,,,,,74.7260779000353,75.22724609996658,70.7258822999429,74.7260779000353,75.22724609996658,75.22724609996658,78.22606170002837,78.22606170002837,0.009715700056403875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2022-10-09_13h02.41.605,hesitation,2022.2.4,60.196215592783,
audio/practice_dummy.wav,4,audio/practice_dummy_c.png,,,,0,1,1,0,,,,,,,,,,,,,,,,,81.85955019993708,82.36077060003299,,,82.36077060003299,82.36077060003299,,,0.009249199996702373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2022-10-09_13h02.41.605,hesitation,2022.2.4,60.196215592783,
,,,trial9_stim.xlsx,1,audio/focus2_c.png,,,,,0,0,0,0,,,,,,,,,,,,,164.059115299955,164.57411769998726,,,,,,,,89.07609039999079,89.07609039999079,89.07609039999079,2.0,8.434556000051089,98.02610589994583,98.02610589994583,98.02610589994583,1.0,3.817308400059119,102.35934580001049,104.3592574999202,115.12763989996165,115.12763989996165,0.029135199962183833,126.4577275000047,126.4577275000047,126.4577275000047,1.0,37.59268030000385,164.57411769998726,164.57411769998726,164.57411769998726,2.0,4.25992550002411,,,,,,6,001,2022-10-09_13h02.41.605,hesitation,2022.2.4,60.196215592783,
,,,trial5_stim.xlsx,2,audio/focus_2_c.png,,,,,0,1,1,1,,,,,,,,,,,,,195.3257900000317,195.82571949996054,,,,,,,,,,,,,,,,,,169.34239070001058,171.34241089993156,182.4776159999892,182.4776159999892,0.02868380001746118,192.40914270002395,192.40914270002395,192.40914270002395,2.0,2.89850590005517,195.82571949996054,195.82571949996054,195.82571949996054,1.0,2.9145158000756055,,,,,,6,001,2022-10-09_13h02.41.605,hesitation,2022.2.4,60.196215592783,
,,,trial1_stim.xlsx,3,audio/millions_c.png,,,,,0,2,2,2,,,,,,,,,,,,,229.64239009993616,230.14218690001871,,,,,,,,,,,,,,,,,,199.25912389997393,201.25903139996808,215.627068300033,215.627068300033,0.029309700010344386,227.05903070000932,227.05903070000932,227.05903070000932,0.0,2.5637513999827206,230.14218690001871,230.14218690001871,230.14218690001871,1.0,2.1134929000400007,,,,,,6,001,2022-10-09_13h02.41.605,hesitation,2022.2.4,60.196215592783,
,,,trial2_stim.xlsx,4,audio/gym_c.png,,,,,0,3,3,3,,,,,,,,,,,,,257.7921722999308,258.29239009995945,,,,,,,,,,,,,,,,,,232.77560179994907,234.77569439995568,244.12686159997247,244.12686159997247,0.011236899998039007,253.4256334999809,253.4256334999809,253.4256334999809,2.0,4.347250399994664,258.29239009995945,258.29239009995945,258.29239009995945,1.0,2.2808522999985144,247.14042179996613,247.14042179996613,,,,6,001,2022-10-09_13h02.41.605,hesitation,2022.2.4,60.196215592783,
,,,trial6_stim.xlsx,5,audio/focus_3_c.png,,,,,0,4,4,4,,,,,,,,,,,,,288.00886329996865,288.5239738000091,,,,,,,,,,,,,,,,,,261.0923408999806,263.09226369997486,273.3769373999676,273.3769373999676,0.012350299977697432,285.1923775000032,285.1923775000032,285.1923775000032,0.0,2.7943007999565452,288.5239738000091,288.5239738000091,288.5239738000091,1.0,1.993617199943401,276.3904767000349,276.3904767000349,,,,6,001,2022-10-09_13h02.41.605,hesitation,2022.2.4,60.196215592783,
,,,trial4_stim.xlsx,6,audio/focus_1_c.png,,,,,0,5,5,5,,,,,,,,,,,,,317.5920719000278,318.0920917999465,,,,,,,,,,,,,,,,,,291.02531179995276,293.02558549994137,303.86011559993494,303.86011559993494,0.028976499917916954,315.00871999992523,315.00871999992523,315.00871999992523,2.0,2.5610250999452546,318.0920917999465,318.0920917999465,318.0920917999465,2.0,2.661332899937406,296.54047889995854,296.54047889995854,,,,6,001,2022-10-09_13h02.41.605,hesitation,2022.2.4,60.196215592783,
,,,trial3_stim.xlsx,7,audio/kissing_c.png,,,,,0,6,6,6,,,,,,,,,,,,,350.4253855999559,350.9254753999412,,,,,,,,,,,,,,,,,,321.2754850999918,323.27544709993526,337.27686240000185,337.27686240000185,0.02817120007239282,347.39021839993075,347.39021839993075,347.39021839993075,1.0,3.0269260000204667,350.9254753999412,350.9254753999412,350.9254753999412,1.0,2.3611677000299096,326.790520099923,326.790520099923,9.999007300008088,,,6,001,2022-10-09_13h02.41.605,hesitation,2022.2.4,60.196215592783,
,,,trial8_stim.xlsx,8,audio/focus1_c.png,,,,,0,7,7,7,,,,,,,,,,,,,385.89185539993923,386.39198209997267,,,,,,,,,,,,,,,,,,353.80875319999177,355.8084314999869,369.9432649000082,369.9432649000082,0.031830300111323595,382.7920135000022,382.7920135000022,382.7920135000022,2.0,3.0805549999931827,386.39198209997267,386.39198209997267,386.39198209997267,2.0,0.9802928999997675,,,,,,6,001,2022-10-09_13h02.41.605,hesitation,2022.2.4,60.196215592783,
,,,trial10_stim.xlsx,9,audio/focus3_c.png,,,,,0,8,8,8,,,,,,,,,,,,,418.5584767999826,419.0585443000309,,,,,,,,,,,,,,,,,,387.89828129997477,,402.2766278999625,402.2766278999625,0.014840599964372814,416.90854370000307,416.90854370000307,416.90854370000307,3.0,1.6303522000089288,419.0585443000309,419.0585443000309,419.0585443000309,2.0,0.7320079000201076,405.2904205999803,405.2904205999803,,,,6,001,2022-10-09_13h02.41.605,hesitation,2022.2.4,60.196215592783,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419.80861119995825,424.8086475000018,,,,,,,
