practice_audio,practice_length,practice_colour,audio_trial,nmb_trial,audio_focus,PracticeTrial.thisRepN,PracticeTrial.thisTrialN,PracticeTrial.thisN,PracticeTrial.thisIndex,ExperimentTrial.thisRepN,ExperimentTrial.thisTrialN,ExperimentTrial.thisN,ExperimentTrial.thisIndex,FocusDummyTrial.thisRepN,FocusDummyTrial.thisTrialN,FocusDummyTrial.thisN,FocusDummyTrial.thisIndex,textIntroScreen.started,respIntroScreen.started,respIntroScreen.keys,respIntroScreen.rt,textRuleScreen.started,respRuleScreen.started,respRuleScreen.keys,respRuleScreen.rt,blank500.started,key_resp.started,blank500.stopped,key_resp.keys,key_resp.rt,textPractice.started,textNextAudioPractice.started,imageNextAudioPractice.started,soundPractice.started,textHesitationP.started,imageHesitationP.started,sliderHesitationP.started,sliderHesitationP.response,sliderHesitationP.rt,textSentenceP.started,imageSentenceP.started,sliderSentenceP.started,sliderSentenceP.response,sliderSentenceP.rt,textNewTrial.started,textNextAudio.started,imageNextAudio.started,soundFocusDummy.started,textHesitation.started,imageHesitation.started,sliderHesitation.started,sliderHesitation.response,sliderHesitation.rt,textSentence.started,imageSentence.started,sliderSentence.started,sliderSentence.response,sliderSentence.rt,textEndScreen.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,20.701939528997173,20.701939528997173,space,155.57329484300135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,exp1_new,001,2022-10-11_12h03.51.584,hesitation,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,176.3058148880009,176.3058148880009,space,0.44961967300332617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,exp1_new,001,2022-10-11_12h03.51.584,hesitation,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,176.79755456299608,176.79755456299608,177.3149903759986,space,1.4964989279978909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,exp1_new,001,2022-10-11_12h03.51.584,hesitation,2022.2.4,None,
audio/practice_dummy.wav,4,audio/practice_dummy_c.png,,,,0,0,0,0,,,,,,,,,,,,,,,,,182.32843597300234,182.32843597300234,182.84616598299908,space,1.0987433940026676,178.31613416899927,183.47625849599717,183.47625849599717,0.019493070998578332,,,,,,,,,,,,,,,,,,,,,,,,,,exp1_new,001,2022-10-11_12h03.51.584,hesitation,2022.2.4,None,
audio/practice_focus.wav,4,audio/practice_focus_c.png,,,,0,1,1,1,,,,,,,,,,,,,,,,,190.17876668299868,190.17876668299868,190.69345212599728,space,2.170106930003385,,192.39242995999666,192.39242995999666,0.022135935003461782,,,,,,,,,,,,,,,,,,,,,,,,,,exp1_new,001,2022-10-11_12h03.51.584,hesitation,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,206.27827923899895,206.27827923899895,206.79542008399585,space,35.44254281100439,,,,,199.04607705799572,199.04607705799572,199.04607705799572,1.0,7.226471866000793,,,,,,,,,,,,,,,,,,,,,exp1_new,001,2022-10-11_12h03.51.584,hesitation,2022.2.4,None,
,,,trial9_stim.xlsx,1,audio/focus2_c.png,,,,,0,0,0,0,,,,,,,,,,,,,290.6770519330021,290.6770519330021,291.1925625399963,space,5.418984164003632,,,,,,,,,,241.758159650999,241.758159650999,241.758159650999,1.0,7.1921621410001535,250.5707022580027,273.33012902899645,273.33012902899645,0.01573637600085931,283.0831214229984,283.0831214229984,283.0831214229984,0.0,7.58176054800424,296.14893052000116,296.14893052000116,296.14893052000116,1.0,7.634387871999934,,exp1_new,001,2022-10-11_12h03.51.584,hesitation,2022.2.4,None,
,,,trial5_stim.xlsx,2,audio/focus_2_c.png,,,,,0,1,1,1,,,,,,,,,,,,,346.028658878,346.028658878,346.5327332279994,space,1.7445027569992817,,,,,,,,,,,,,,,310.1104961279998,327.7976308590005,327.7976308590005,0.02401521299907472,337.7332524550002,337.7332524550002,337.7332524550002,2.0,8.270228829002008,347.8157658909986,347.8157658909986,347.8157658909986,2.0,2.658067452000978,,exp1_new,001,2022-10-11_12h03.51.584,hesitation,2022.2.4,None,
,,,trial1_stim.xlsx,3,audio/millions_c.png,,,,,0,2,2,2,,,,,,,,,,,,,388.8864500069976,388.8864500069976,389.3929223949963,space,3.372646245006763,,,,,,,,,,,,,,,353.98541570799716,372.1425145079993,372.1425145079993,0.03085033199749887,385.53883964200213,385.53883964200213,385.53883964200213,0.0,3.3287748340007965,392.3074229470003,392.3074229470003,392.3074229470003,0.0,3.2670665919940802,,exp1_new,001,2022-10-11_12h03.51.584,hesitation,2022.2.4,None,
,,,trial2_stim.xlsx,4,audio/gym_c.png,,,,,0,3,3,3,,,,,,,,,,,,,431.3054186879963,431.3054186879963,431.81502958799683,space,4.6272826730055385,,,,,,,,,,,,,,,398.70336233399576,416.96931785999914,416.96931785999914,0.0190618069973425,425.32821990900266,425.32821990900266,425.32821990900266,0.0,5.961276759997418,435.9764256249982,435.9764256249982,435.9764256249982,0.0,3.1512763060018187,,exp1_new,001,2022-10-11_12h03.51.584,hesitation,2022.2.4,None,
,,,trial6_stim.xlsx,5,audio/focus_3_c.png,,,,,0,4,4,4,,,,,,,,,,,,,471.7349671769989,471.7349671769989,472.2383576840002,space,1.862961038998037,,,,,,,,,,,,,,,442.57797119199677,459.9361640720017,459.9361640720017,0.011911574001715053,469.20220664099907,469.20220664099907,469.20220664099907,1.0,2.5149296859963215,473.6322602689979,473.6322602689979,473.6322602689979,1.0,5.034131273001549,,exp1_new,001,2022-10-11_12h03.51.584,hesitation,2022.2.4,None,
,,,trial4_stim.xlsx,6,audio/focus_1_c.png,,,,,0,5,5,5,,,,,,,,,,,,,516.1207116869991,516.1207116869991,516.6333409329964,space,5.452489271003287,,,,,,,,,,,,,,,482.28119810800126,498.4622101249988,498.4622101249988,0.024656262001371942,509.5876019319985,509.5876019319985,509.5876019319985,2.0,6.51195017399732,521.622154593002,521.622154593002,521.622154593002,1.0,2.0542747029976454,,exp1_new,001,2022-10-11_12h03.51.584,hesitation,2022.2.4,None,
,,,trial3_stim.xlsx,7,audio/kissing_c.png,,,,,0,6,6,6,,,,,,,,,,,,,557.5458233870013,557.5458233870013,558.0495114419973,space,2.8379149900065386,,,,,,,,,,,,,,,524.4504888919982,544.2848431599996,544.2848431599996,0.02488840300065931,554.3855287490005,554.3855287490005,554.3855287490005,0.0,3.142879790000734,560.4311236409994,560.4311236409994,560.4311236409994,1.0,1.3661852049990557,,exp1_new,001,2022-10-11_12h03.51.584,hesitation,2022.2.4,None,
,,,trial8_stim.xlsx,8,audio/focus1_c.png,,,,,0,7,7,7,,,,,,,,,,,,,595.7630984630014,595.7630984630014,596.2763089049986,space,0.9519385829989915,,,,,,,,,,,,,,,562.4910746300011,579.8901464959999,579.8901464959999,0.01625323700136505,592.7442781119971,592.7442781119971,592.7442781119971,1.0,3.0042210169995087,596.7609831949958,596.7609831949958,596.7609831949958,1.0,0.8481195049971575,,exp1_new,001,2022-10-11_12h03.51.584,hesitation,2022.2.4,None,
,,,trial10_stim.xlsx,9,audio/focus3_c.png,,,,,0,8,8,8,,,,,,,,,,,,,632.207081913999,632.207081913999,632.7225954219975,space,3.244267593996483,,,,,,,,,,,,,,,599.5862339039959,618.4397511580028,618.4397511580028,0.028967312995519023,629.8240151589998,629.8240151589998,629.8240151589998,2.0,2.3647793990021455,635.4921898539978,635.4921898539978,635.4921898539978,3.0,0.9995862819996546,,exp1_new,001,2022-10-11_12h03.51.584,hesitation,2022.2.4,None,
