practice_audio,practice_length,practice_colour,audio_trial,nmb_trial,audio_focus,PracticeTrial.thisRepN,PracticeTrial.thisTrialN,PracticeTrial.thisN,PracticeTrial.thisIndex,ExperimentTrial.thisRepN,ExperimentTrial.thisTrialN,ExperimentTrial.thisN,ExperimentTrial.thisIndex,FocusDummyTrial.thisRepN,FocusDummyTrial.thisTrialN,FocusDummyTrial.thisN,FocusDummyTrial.thisIndex,textIntroScreen.started,respIntroScreen.started,respIntroScreen.keys,respIntroScreen.rt,textRuleScreen.started,respRuleScreen.started,respRuleScreen.keys,respRuleScreen.rt,blank500.started,key_resp.started,blank500.stopped,key_resp.keys,key_resp.rt,textPractice.started,textNextAudioPractice.started,imageNextAudioPractice.started,soundPractice.started,textHesitationP.started,imageHesitationP.started,sliderHesitationP.started,sliderHesitationP.response,sliderHesitationP.rt,textSentenceP.started,imageSentenceP.started,sliderSentenceP.started,sliderSentenceP.response,sliderSentenceP.rt,textNewTrial.started,textNextAudio.started,imageNextAudio.started,soundFocusDummy.started,textHesitation.started,imageHesitation.started,sliderHesitation.started,sliderHesitation.response,sliderHesitation.rt,textSentence.started,imageSentence.started,sliderSentence.started,sliderSentence.response,sliderSentence.rt,soundFocusDummy.stopped,textEndScreen.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,45.68835647699598,45.68835647699598,space,44.44485096399876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,exp2,001,2022-10-11_13h08.21.746,hesitation,2022.2.4,60.31809470982973,
,,,,,,,,,,,,,,,,,,,,,,90.18687073500041,90.18687073500041,space,44.25299076000374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,exp2,001,2022-10-11_13h08.21.746,hesitation,2022.2.4,60.31809470982973,
,,,,,,,,,,,,,,,,,,,,,,,,,,134.4732294360001,134.4732294360001,134.98773908899602,space,10.353524318998097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,exp2,001,2022-10-11_13h08.21.746,hesitation,2022.2.4,60.31809470982973,
audio/practice_focus.wav,4,audio/practice_focus_c.png,,,,0,0,0,1,,,,,,,,,,,,,,,,,148.87354686699837,148.87354686699837,149.38318260099913,space,3.1899294030008605,144.84696896399691,152.09589499899448,152.09589499899448,0.01936645900423173,,,,,,,,,,,,,,,,,,,,,,,,,,,exp2,001,2022-10-11_13h08.21.746,hesitation,2022.2.4,60.31809470982973,
audio/practice_dummy.wav,4,audio/practice_dummy_c.png,,,,0,1,1,0,,,,,,,,,,,,,,,,,158.72367411599407,158.72367411599407,159.23024627599807,space,3.256367246998707,,162.02077132200066,162.02077132200066,0.016268854000372812,,,,,,,,,,,,,,,,,,,,,,,,,,,exp2,001,2022-10-11_13h08.21.746,hesitation,2022.2.4,60.31809470982973,
,,,,,,,,,,,,,,,,,,,,,,,,,,185.69789058499737,185.69789058499737,186.20041243399464,space,1.786447127997235,,,,,168.73931508299574,168.73931508299574,168.73931508299574,1.0,16.947667954998906,,,,,,,,,,,,,,,,,,,,,,exp2,001,2022-10-11_13h08.21.746,hesitation,2022.2.4,60.31809470982973,
,,,trial9_stim.xlsx,1,audio/focus2_c.png,,,,,0,0,0,0,,,,,,,,,,,,,233.81075097899884,233.81075097899884,234.32693337999808,space,1.858309191004082,,,,,,,,,,187.5283856679962,187.5283856679962,187.5283856679962,0.0,7.794360599997162,200.59380788399721,218.21220731399808,218.21220731399808,0.014384977002919186,227.9577239049977,227.9577239049977,227.9577239049977,1.0,5.838384791997669,235.7229186149998,235.7229186149998,235.7229186149998,1.0,2.418787123999209,,,exp2,001,2022-10-11_13h08.21.746,hesitation,2022.2.4,60.31809470982973,
,,,trial5_stim.xlsx,2,audio/focus_2_c.png,,,,,0,1,1,1,,,,,,,,,,,,,270.8983813909945,270.8983813909945,271.40190765499574,space,1.800447716996132,,,,,,,,,,,,,,,240.4137894710002,255.62672967199615,255.62672967199615,0.011822681997728068,265.7340225129956,265.7340225129956,265.7340225129956,1.0,5.145774534001248,272.7350300129983,272.7350300129983,272.7350300129983,2.0,3.78770129300392,,,exp2,001,2022-10-11_13h08.21.746,hesitation,2022.2.4,60.31809470982973,
,,,trial1_stim.xlsx,3,audio/millions_c.png,,,,,0,2,2,2,,,,,,,,,,,,,310.6596154259969,310.6596154259969,311.1730005569989,space,1.7019571929995436,,,,,,,,,,,,,,,278.689516198996,294.31237736500043,294.31237736500043,0.02734935199987376,307.701371739,307.701371739,307.701371739,1.0,2.938108476002526,312.40999067400116,312.40999067400116,312.40999067400116,0.0,2.8815303429946653,,,exp2,001,2022-10-11_13h08.21.746,hesitation,2022.2.4,60.31809470982973,
,,,trial2_stim.xlsx,4,audio/gym_c.png,,,,,0,3,3,3,,,,,,,,,,,,,346.6319944909992,346.6319944909992,347.14355558099487,space,3.8677071619968046,,,,,,,,,,,,,,,317.5537755789992,332.7636213769947,332.7636213769947,0.023582229994644877,342.0854208620003,342.0854208620003,342.0854208620003,0.0,4.529198976000771,350.55006865899486,350.55006865899486,350.55006865899486,0.0,2.6428640730009647,,,exp2,001,2022-10-11_13h08.21.746,hesitation,2022.2.4,60.31809470982973,
,,,trial6_stim.xlsx,5,audio/focus_3_c.png,,,,,0,4,4,4,,,,,,,,,,,,,385.7371932469978,385.7371932469978,386.25920444000076,space,1.240203196000948,,,,,,,,,,,,,,,355.50654039299843,373.2392962219965,373.2392962219965,0.0154883979994338,382.5159653189985,382.5159653189985,382.5159653189985,2.0,3.2046336159983184,387.02569256299466,387.02569256299466,387.02569256299466,0.0,5.933958501002053,,,exp2,001,2022-10-11_13h08.21.746,hesitation,2022.2.4,60.31809470982973,
,,,trial4_stim.xlsx,6,audio/focus_1_c.png,,,,,0,5,5,5,,,,,,,,,,,,,423.65239047499927,423.65239047499927,424.16570431499713,space,2.344593884998176,,,,,,,,,,,,,,,394.20107336299407,408.1543529509945,408.1543529509945,0.02213069400022505,419.2905789869983,419.2905789869983,419.2905789869983,1.0,4.343866646995593,426.0478444670007,426.0478444670007,426.0478444670007,0.0,2.6159481220020098,,,exp2,001,2022-10-11_13h08.21.746,hesitation,2022.2.4,60.31809470982973,
